名称,AssetType,Status,Version,LoadPolicy,Date
《认知资产标准格式协议》（CASFP）,Protocol,Active,v1.0,Full,2025-12-24T16:00:59
《认知资产引用与链接协议》（CALP）,Protocol,Active,v1.0,Full,2025-12-24T11:26:26
